,true_values,pred_probs,titles,pred
5520,0.0,0.6070230418056611,Revengeful crows refuse to forgive MP man after death of chick 3 years ago,1.0
7855,0.0,0.6665891215975339,"The most common street name in U.S. is Second. First is the third, Third is the second with Fifth being the sixth most common.",1.0
2483,0.0,0.5317469367757783,Airbnb Goes to Antarctica,1.0
8411,1.0,0.3042922731461741,Painting Hanging In Thrift Store Must Be Founder Of The Salvation Army,0.0
312,0.0,0.9664621503280301,"Overthinking Can Shorten Your Life, Says New Study",1.0
8112,1.0,0.24971741609933162,"Philadelphia To Become DirecTV, PA After Cream Cheese Manufacturer Loses Naming Rights",0.0
8246,1.0,0.41722684896134554,Disturbing Teen Trend: Adolescents Across The Country Are Getting Together WEEKLY to Worship A Dead Man Named Jesus Christ,0.0
6333,0.0,0.9355823479296467,Absolutely No Reason For A Recession But ‘We’ll Probably Have One Anyway’,1.0
784,0.0,0.6909142986977644,"The day $20,000 of weed and a joke about bombs on an aircraft ended Bill Murray’s college days",1.0
284,0.0,0.7571732418941555,Tharaka-Nithi man stabs and kills friend over termites meal,1.0
6977,0.0,0.6075786265592854,Trump To Pardon Himself For Crimes Against Weather,1.0
1913,0.0,0.7480305745015605,X post but fits here,1.0
4549,0.0,0.5346257224337131,"Shanghai restaurant bills eight people $58,378 for dinner",1.0
16619,1.0,0.2674158600707633,NRA Says Mass Shootings Just The Unfortunate Price Of Protecting People's Freedom To Commit Mass Shootings,0.0
6306,0.0,0.9057439579807999,"Man gets mad his photo is used to prove all hipsters look alike, only to discover the picture isn’t of him",1.0
7119,0.0,0.9151178048204377,"De Blasio cites reading The Post, making phone calls as proof of hard work",1.0
7372,0.0,0.7703805190251256,Loop Trolley Will Begin Hosting Stand-Up Comedians in Bid to Boost Ridership,1.0
1266,0.0,0.7158425113934334,35 Y.O CEO Slams Other Millennials For Entitlement Despite Being Handed CEO Job By His Dad,1.0
5324,0.0,0.8317347800727233,Most Isolated Tribe In Continental U.S. Gets Broadband,1.0
9499,1.0,0.4199511465853407,Trump Pushes Health Care Reform Until After 2020,0.0
6796,0.0,0.6815236553199773,Identical triplets all jailed for the same crime,1.0
9832,1.0,0.3855589233768296,Pantone Intern Starstruck After Meeting Designer Behind Sand Dollar 13-1106,0.0
5839,0.0,0.6429987922302028,"Sam Darnold sidelined by mono, out for Monday night matchup with Browns and likely longer",1.0
529,0.0,0.5837834831772238,Does praying burn calories? Here’s the pope’s $110 e-rosary,1.0
11059,1.0,0.3138086262952846,In High School They Called Him ‘Hog Fucker.’ Now He Fucks Hogs For The Stars.,0.0
6253,0.0,0.5021725680262726,Finger Lickin good,1.0
7744,0.0,0.7100419796034767,Have You Seen Any Nazi Uranium? These Researchers Want To Know,1.0
6155,0.0,0.5349691475921882,Taliban warns against travel to U.S. due to gun violence,1.0
7552,0.0,0.8127791425285809,Can Bernie Sanders Supporters Meme Him to the Democratic Nomination?,1.0
1713,0.0,0.9064169480259758,I couldn’t fathom it being possibly be serious after seeing ‘Kill the gays bill’,1.0
9168,1.0,0.4990023424968764,‘Avengers: Endgame’ Shatters Box Office Records,0.0
4911,0.0,0.516608302567286,Artificial Insemination Facility Has Mass Semen Explosion After Fire Erupts,1.0
6766,0.0,0.7882188876753023,Playing non-stop Shoo!bert,1.0
193,0.0,0.6540833759435052,Biological Male Wins Women’s Cycling World Championship,1.0
11875,1.0,0.26747835061370606,Is This Year's Giants Team An Al-Qaeda Plot Designed To Hurt New Yorkers Again?,0.0
10068,1.0,0.42467193661159125,Female Brains More Youthful Than Male Ones,0.0
10751,1.0,0.41148373077232736,UCF Deserves A Shot To Be Utterly Destroyed In The College Football Playoff,0.0
2630,0.0,0.9319198064703015,Henry Winkler has been feuding with Tom Hanks since 1989,1.0
3233,0.0,0.5618079240195166,Mike Pence tells Americans to ‘Spend more time on your knees than on the Internet’,1.0
6314,0.0,0.8261026387362517,Cryptocurrency Exchange Script | Bitcoin Exchange Software,1.0
5492,0.0,0.8693331220757763,Japan's cyber security minister admits he has never used a computer,1.0
4316,0.0,0.5228471473371972,PlayStation 5 Will Include Power Saving Feature to Tackle Climate Change,1.0
693,0.0,0.8448193793404737,VIDEO: Bizarre video shows pastor demonstrating to church members how to do the doggy style,1.0
12649,1.0,0.18029206955468083,4 Times My Dad Ate A Single Oyster And Started Acting Like The Horniest Person In The World Because He Read Online They Were An Aphrodisiac,0.0
1307,0.0,0.5263227649433962,Enormous,1.0
4738,0.0,0.6775715183939559,monsanto argues roundup cancer victim should receive less money,1.0
14188,1.0,0.44449644385771964,3-Year-Old Pretending Stuffed Animals Having Big Fight About Accidental Pregnancy,0.0
7715,0.0,0.9681457480441737,Expensive Newly Built MTA Bus Washing Station Not Wide Enough to Wash Buses,1.0
6540,0.0,0.6868067500408859,Abandoned load of rotten potatoes deemed so deadly it got a police escort to the landfill,1.0
3625,0.0,0.695523046422754,Naked Donald Trump statues are popping up across America,1.0
14897,1.0,0.3845922929346173,Top ​​Benefits ​​Of​​ Being ​​A​​ Risk-Taker,0.0
1180,0.0,0.7926746789653722,Don’t make the rules just enforce them,1.0
10183,1.0,0.1832164179487217,Seems Extreme: Jacob Farted During Math And The Marines Wheeled Him Out Of The Classroom In One Of Those Hannibal Lecter Straitjacket Things With The Muzzle,0.0
14415,1.0,0.38621414123092207,Comey Says Trump ‘Morally Unfit’ To Be President As Clash Escalates,0.0
6078,0.0,0.9597442073812952,Presidential candidate Tim Ryan releases album on Spotify,1.0
4402,0.0,0.9116820061125562,Nick Kyrgios blames ‘hot chick’ for loss of concentration in Roger Federer defeat,1.0
15132,1.0,0.3859371086804463,PornHub Expands Parental Controls For User Accounts,0.0
3775,0.0,0.5049656282954245,Charlottesville man sues newspaper for reporting on family’s slave-owning past,1.0
2022,0.0,0.6040896587401591,Man chokes cashier for putting chips and canned goods in same grocery bag,1.0
6006,0.0,0.5315746543371941,Survey,1.0
5199,0.0,0.5981487013782035,Dark crystals: the brutal reality behind a booming wellness craze | Life and style,1.0
4099,0.0,0.9413349991806599,Christian missionary becomes atheist because grammar of the tribe he tried to convert requires evidence for all statements,1.0
650,0.0,0.8966949540850285,What the fuck,1.0
2780,0.0,0.838310541692385,Trump Blurts Out an Impeachable Offense on the White House Lawn,1.0
3261,0.0,0.863478173369487,Moms wanting to make video game radios more realistic,1.0
7827,0.0,0.8604045690341201,Paul Walker’s daughter Meadow estranged from dad’s family after ‘cutting them out’,1.0
16178,1.0,0.1263970748509512,Donna Brazile Says Hillary Rodham Clinton High Palace Of The Solar Order Was Almost Like A Cult,0.0
5322,0.0,0.7779663316810789,Malaysian 11th Special Forces Regiment Body Armor Demonstration Kills Major(videos in link),1.0
6784,0.0,0.630787431708913,Own Your Throne: Hamilton spent $40K teaching people how to use the toilet,1.0
2367,0.0,0.5186402543827878,Arrro,1.0
10270,1.0,0.2435615343879584,Yosemite Closed Indefinitely After Bear Spotted In Park,0.0
13245,1.0,0.4464327956990067,National Parks Closed For Annual Remajestification,0.0
7250,0.0,0.8512138926083387,Judge rules White House must give Playboy columnist Brian Karem his press pass back,1.0
6793,0.0,0.7964323357155736,Trump Somehow Replaces Unqualified Mideast Envoy With Even Less Qualified One,1.0
1296,0.0,0.7500971398234288,Washington Parish sheriff changes political affiliation following Election Day win,1.0
1942,0.0,0.6710843609031696,Man rescued a Pelican and now they are friends,1.0
11762,1.0,0.22434454879814492,Authorities Say Blacklight Analysis Shows Velvet Poster Of Mushroom Kingdom Looking Even Cooler Than Previously Imagined,0.0
4466,0.0,0.8055613526279989,Life choices,1.0
15647,1.0,0.041688995252729635,"1 ""We've decided to shift our launch schedule back, but we'll definitely launch tomorrow.""",0.0
6701,0.0,0.9435183423608079,A study suggests that hot yoga offers little benefit over similarly-paced yoga at a more normal temperature.,1.0
13638,1.0,0.4345583129800257,Miss America Pageant Adds Sweatpants And Messy Bun Competition,0.0
1878,0.0,0.5186402543827878,McNoway,1.0
13355,1.0,0.25619780663988795,Everybody knows who is this.... Can you you describe him in 1 word. NO ABUSES(You can censor your words if needed),0.0
7499,0.0,0.7836275500648514,Fish shop shut down for using googly eyes to make fish look fresher,1.0
8934,1.0,0.15488930317960292,"Excuse Me, I’m A Little Shy...But...May I Have Blue Cheese Dressing?",0.0
1228,0.0,0.6864352229144844,Republican Congressman wishes the Navy happy birthday with a picture of a Russian Battlecruiser,1.0
8423,1.0,0.45725210246494324,Man Who Crossed US In Balloon Only Talks About Horse Abuse,0.0
14342,1.0,0.45036743913454935,"‘Nothing Is More Attractive Than Confidence,’ Says Woman Who Has Apparently Never Seen Sonic The Hedgehog Cosplay",0.0
12702,1.0,0.2492630954883811,NOAA Lowers Warnings For Atlantic Hurricane Season,0.0
15312,1.0,0.3907378427929428,[Meta] Onion writer's routinely recycled mass-shooting headline hits close to home,0.0
12039,1.0,0.32607501981742215,Ted Cruz Heckled Out Of D.C. Restaurant,0.0
7711,0.0,0.6142321903428525,Orlando resident: I send my mother to Disney for hurricanes,1.0
11277,1.0,0.2847468144631955,"Wildfires More Frequent Because Of Climate Change, Forest Management",0.0
15407,1.0,0.4943673794405426,"Prince Harry, Meghan Markle Debating Between Hawaiian Luau- Or ‘X-Files’-Themed Wedding",0.0
8390,1.0,0.13110151148902122,"california man burns down a forest, so no more neighborhood dogs could get lost.",0.0
13062,1.0,0.19572289814937394,Are You Being Forced To Move To A New School Several Times A Year Because Your Dad’s In The Army Or Because He Loves The Army?,0.0
6395,0.0,0.7085407644912091,NASA remixed an Ariana Grande song to promote its mission to put a woman on the moon,1.0
1182,0.0,0.6385256722871251,Andrew Cuomo Uses Racial Slurs In Radio Interview About Racism Against Italians,1.0
11393,1.0,0.002653481381614593,Little Miami High School's name 'hacked' to 'Gay Night Club for Teens' on Google,0.0
7578,0.0,0.8182333446053608,The actor who played Dale Gribble on King of the Hill has gone crazy,1.0
4341,0.0,0.6663804312450003,Windows 10 Search Issues: Microsoft Labels It Resolved Without Issuing Fix,1.0
11748,1.0,0.4108519459285092,Area Grandmother Tries Indian Food,0.0
8332,1.0,0.4730492873864501,Newt Gingrich Slams ‘New York Times’ 1619 Project As Shameless Abolitionist Propaganda,0.0
17021,1.0,0.296623464513057,Your HOA Rights &amp;amp; Chickens,0.0
8533,1.0,0.19652306469759057,Pizza Crust Saved To Make Pizza Stock,0.0
12842,1.0,0.36707730362810853,"Windows Toolbar, Mouse Cursor Visible Throughout Memorial Service Slideshow",0.0
12658,1.0,0.23881131271269446,Ditching Tight Pants Improves Sperm Count,0.0
1241,0.0,0.5365244897729212,Ellen DeGeneres gifts baby Trump a golden stroller with its own chandelier.,1.0
13289,1.0,0.4269472018271959,Another Failure: Facebook Is Scrambling To Beef Up Security After Discovering Millions Of Users Who Falsely Listed Their Education As ‘School Of Hard Knocks’,0.0
8937,1.0,0.3688636560870599,Wedding Experts Say Engagement Ring Should Cost At Least Three Diamond Miners’ Lives,0.0
522,0.0,0.8833461015037216,"Recall Leroy Garcia effort 13,502 signatures short of 13,506 signature goal",1.0
8717,1.0,0.413519818091399,Man Annoyed At Being Mistaken For Employee Just Because He Driving Forklift Through Store,0.0
1364,0.0,0.6497784537239876,You can now pay social media influencers to be your friends,1.0
8509,1.0,0.313886091999681,Pervert with ‘very ugly penis’ drove up beside woman’s car then began masturbating,0.0
12610,1.0,0.2486846516199935,So Close: Woman In Fairytale Kisses Frog But It Just Turns Into Frog With Human Hand,0.0
3289,0.0,0.6719377079800641,I can't with this planet,1.0
3433,0.0,0.7050838463890322,Giants’ Fan Appreciation giveaway backfires: SUV goes to a Dodgers fan,1.0
10800,1.0,0.472235761713073,‘Sesame Street’ Includes First Muppet To Experience Homelessness,0.0
8478,1.0,0.4314492030292091,Mean Automakers Dash Hope For Flying Cars,0.0
14753,1.0,0.49828027483019494,"Gym Places Flowers, White Spin Bike In Spot Where Soul Cyclist Killed",0.0
7024,0.0,0.5757805859372525,And whoever pulls it out of there shall be crowned King of Florida,1.0
12437,1.0,0.02696777103104833,California Man Charged With Threatening To Kill ‘Boston Globe’ Employees,0.0
13592,1.0,0.019060835973814888,"Man who sold out country for $ criticizes woman who sold body for $. ""Maybe I'm just a hypocrite?"", asked Giuliani rhetorically.",0.0
3454,0.0,0.9876938028730025,obama returns to power? lots of Christians having dreams,1.0
3158,0.0,0.8687346263901902,Do you boast about your fitness? Watch out – you’ll unavoidably become rightwing,1.0
13629,1.0,0.37937441325676946,Dunkin’ Donuts Signs 10-Year Partnership To Be Exclusive Food Vendor Of United States,0.0
4436,0.0,0.7596303695605638,Christian TV Host: Meatless Burgers Are Satanic Plot To Create ‘Race Of Soulless Creatures’,1.0
14803,1.0,0.4787098446174048,Male Birth Control Pill Shows Early Promise,0.0
16531,1.0,0.1733782462485743,Bushfires Keep Us Warm Says Tony Abbott,0.0
7373,0.0,0.5766462270917468,Disney Under Fire After Leaving Cruise Staff in Bahamas,1.0
6854,0.0,0.5020290492438324,Lizards poop on the biggest rocks around,1.0
3317,0.0,0.8609939545249637,Google searches for ‘climate change’ finally beat out Game of Thrones,1.0
3673,0.0,0.5269734685733539,National Communication Association suspends discussion Listserv,1.0
17039,1.0,0.38469409014641187,The Final Straw: Trump Was Forced To Dissolve His Business Council After Twinkie The Kid Resigned In Protest,0.0
8011,1.0,0.02357046285923984,The Onion called it: America Needs a Moat (...filled with alligators),0.0
7812,0.0,0.8357413091397716,Some things your sign needs to know,1.0
11575,1.0,0.08076603324665516,New York Sues ExxonMobil For Misleading Investors On Climate Change,0.0
6717,0.0,0.5189389796227236,"Juncker used ‘brightly coloured, simple flashcards’ to explain trade to Trump during meeting",1.0
606,0.0,0.5921923730218276,"Assassination job gets subcontracted four times, leads to arrest of everyone",1.0
8250,1.0,0.34432307808633145,Shocking Report Says Even The Smallest Horse Bite Can Be Harmful To Newborn Babies,0.0
5639,0.0,0.6023217366285224,Insert interesting title,1.0
8208,1.0,0.19691332991104296,Jo Johnson resigns as Tory MP to spend less time with his family,0.0
8135,1.0,0.32782498988850617,Joe Biden Hitchhikes To Democratic National Convention,0.0
6951,0.0,0.5528143707032894,Trump clings to idea Alabama faced big threat from Dorian,1.0
2298,0.0,0.621520893999405,This is so funny,1.0
11799,1.0,0.325131369277467,Democratic Candidate Blows Fundraising Lead On Massive 15-Story Lawn Sign,0.0
4712,0.0,0.5450387591252766,"Cdmx| Obten información relevante de Cdmx, de sus municipios y de sus colonias. | Miguelhidalgo",1.0
11455,1.0,0.4410842301636558,Trump Boys Proud After Mailing In Hand-Drawn Republican Ballots To North Pole,0.0
3420,0.0,0.510075336504168,Obama to Produce Netflix Series About Trump’s Impeachment,1.0
14739,1.0,0.24812062379124783,News: Joining The Resistance: This Woman Marched With The Florida Teens Because She Thought She Was At Mardi Gras,0.0
7735,0.0,0.92400636416072,"There’s an emu on the loose in North Carolina, and nobody’s been quick enough to catch it",1.0
425,0.0,0.6523381633281345,Woman rescues 27 paralysed dogs including Elton John who is ‘still standing’,1.0
9507,1.0,0.27258522468818847,Bold New Rebrand: The U.S. Military’s New Official Slogan Is Now ‘Toot Toot Honk Honk Army’,0.0
13714,1.0,0.30557437875076165,"Commencement, A Duress",0.0
3067,0.0,0.6488699084556995,White House sought cost estimate for alligator-filled moat to fortify The Wall,1.0
15485,1.0,0.4109969878185208,Guantánamo Inmates Cheer After Learning Trump Saved Their Home,0.0
4378,0.0,0.6875949133449359,"There’s a new case of a rabbi sucking on a newborn’s penis and giving him herpes -- ""it must be stopped. Religious freedom can’t be an excuse to get away with something that would never be tolerated outside the religious bubble""",1.0
10993,1.0,0.11248344524710849,'It's the real me': Nigerian president denies dying and being replaced by clone,0.0
1863,0.0,0.813511210449299,NBA Number Eight! China Number One!,1.0
409,0.0,0.9725627897017362,His stable IQ isn’t the only thing he got from daddy,1.0
8669,1.0,0.24817498141941016,CAQ insists religious symbol ban can't be Islamophobic if it's also anti-Semitic - The Beaverton,0.0
15880,1.0,0.4293000833534999,Doug Jones Thanks Child Bride During Victory Speech,0.0
5652,0.0,0.5338424297555832,Driver tries to skirt broken tail light with red drink,1.0
13566,1.0,0.39895134516983993,"If Deadpool Really Is That Rebellious And Cool, Marvel Won’t Mind Us Using Him In This Unlicensed T-Shirt We’re Selling In Our Store",0.0
12355,1.0,0.0681607815342604,https://www.theonion.com/defiant-dallas-police-officer-claims-anyone-could-have-1828942372,0.0
13574,1.0,0.47615071927438846,"Justify, Bravazo Get Into Skirmish During Belmont Stakes Weigh-In",0.0
16640,1.0,0.35610715658967934,Officials Investigating Hugh Hefner’s Death Suspect Foreplay,0.0
11118,1.0,0.4120218046586527,"Poetry Major Waxes Rhapsodic, Floor",0.0
4699,0.0,0.72557309035651,"Sean Bean has had it with dying (in movies), says he has to ‘start surviving’",1.0
9119,1.0,0.11649805190682203,Shameful Bullying: Cruel Kids At School Are Laughing At This Boy Just Because His Name Is Boner Von Rimjob And His Pants Fell Down During His Solo Tuba Recital,0.0
254,0.0,0.5306830597766581,"“Frank Ocean Really, Really Loves Multinational Courier Services”",1.0
15410,1.0,0.41708288126928006,"Prince Harry, Meghan Markle Debating Between Hawaiian Luau- Or aX-Files-Themed Wedding",0.0
2999,0.0,0.9101576620132938,This person used to spit on my car drivers window every morning,1.0
10501,1.0,0.46775641249074246,Michael Cohen Says He Paid To Rig Polls In Trump’s Favor,0.0
1835,0.0,0.8226148954573091,Report: Cheap Android phones are a nightmare for privacy,1.0
4760,0.0,0.5653370225091235,"Brandishing a wad of cash, Trump pitches himself as a generous tipper",1.0
8306,1.0,0.3038689874568337,Brazilian Government Equips Firefighters With Flamethrowers To Combat Massive Amazon Rainforest,0.0
14448,1.0,0.018459664233174723,Manager Of Combination Taco Bell/KFC Secretly Considers It Mostly A Taco Bell,0.0
9796,1.0,0.23684981521640847,U.S. Congressional Candidate Calls for Government Legislation in Response to Internet Trolls Attacking 'Captain Marvel',0.0
13932,1.0,0.2254329720062353,Woman Nervously Reaches For Cell Phone As Suspicious Black Man Tells Her Today’s Soup Is Minestrone,0.0
1469,0.0,0.5110266120669195,Inequalities in heart attack care ‘costing women’s lives’ [BBC],1.0
2636,0.0,0.7260067063707452,John Wayne no longer a star at his alma mater; USC students denounce late actor for ‘legacy of endorsing white supremacy’,1.0
14047,1.0,0.15031941661240628,Israel Offends Japanese Prime Minister By Serving Dessert In Shoe,0.0
12565,1.0,0.14141281882480966,"Man Shoots Pregnant Cow, Sentenced to Prison",0.0
15352,1.0,0.13671766218405385,Swing-dancer banned from club for ‘mansplaining’,0.0
7183,0.0,0.9893668504904769,"Dan Crenshaw: With universal background checks, I wouldn’t be able to let my friends borrow my handgun",1.0
9281,1.0,0.16999264555446789,Guess If a Headline Is from r/theonion or r/nottheonion!,0.0
11631,1.0,0.4886625029063169,Does Amari Cooper's Time Playing For A Terrible Head Coach Make Him A Perfect Fit For The Cowboys?,0.0
13651,1.0,0.21843277665468958,Ubisoft Confirms It Developing ‘Assassin's Creed’ Set In Ancient Greece,0.0
9953,1.0,0.3305505185500242,Ebony And Irony,0.0
7424,0.0,0.7173958894835947,A recent study shows that using emojis gets you laid more often,1.0
8706,1.0,0.384461244168537,World War II Documentary Suffused With Anti-Nazi Undertones,0.0
9383,1.0,0.2586893546068354,Lawmaker's War Hero Son Would Have Wanted Road Bill Passed,0.0
3528,0.0,0.8396574875535391,How does this work?,1.0
11044,1.0,0.4408550844353766,This Is My Favorite Time Of Year Because I’m Sexually Aroused By Toy Soldier Makeup,0.0
1998,0.0,0.9219994125026134,It beginning to look like Christmas,1.0
8282,1.0,0.4329881999374336,My rental car thinks The Onion is these two Asian dudes,0.0
14538,1.0,0.29845655377291713,/r/OnionHeadlines - Fake news for do-it-yourselfers,0.0
11884,1.0,0.20911247450633308,High School Suspends Hunky Student For Wearing Shirt,0.0
2496,0.0,0.694935257060465,Ticket Scalpers Struggle as UT Vols Continue to Lose,1.0
4394,0.0,0.5878535155546971,Trump Allies Think Vaping Ban Could Cost Him 2020 Election,1.0
15209,1.0,0.44616042999566285,Grandfather Seems Proud Of How Many People Polio Killed,0.0
5494,0.0,0.8922699495305292,Mom Throws Dream Party for Personal Injury Lawyer-Obsessed Toddler,1.0
7716,0.0,0.7720007305209311,Cross cross post,1.0
1968,0.0,0.6274440537599459,"No, RBI is not going to discontinue Rs 2000 currency notes; false message viral",1.0
6109,0.0,0.7934572818352006,Tucker hails firing of John Bolton: He was 'fundamentally a man of the left',1.0
15207,1.0,0.304207557884559,Oxfam: ‘Your Donation Will Help Us Protect Impoverished Girls From Our Employees’,0.0
5856,0.0,0.5579734059676678,Biden mistakenly refers to sanders as ‘the president’ during debate,1.0
10421,1.0,0.33565230315487515,"We Sat Down With 10 Doctors And Asked, Is It Cancer? Oh God, It’s Cancer, Isn’t It?",0.0
8989,1.0,0.3824412115006605,Box With Cooking Instructions Immediately Retrieved From Trash,0.0
13639,1.0,0.49176729015896586,"‘Cooking Together Is So Fun,’ Says Man Correcting Girlfriend’s Every Knife Cut",0.0
11932,1.0,0.24100668691383087,Excited Patient Points Out Organ He Wants From Kidney Tank In Hospital Lobby,0.0
12650,1.0,0.1573665896703886,India Rolls Out Healthcare For 500 Million People,0.0
4484,0.0,0.6629392261162199,"Dems Cook 10,500 Steaks While Lecturing Americans About Eating Less Meat",1.0
14542,1.0,0.10779116514435805,Russian Woman Embalmed Alive After Hospital Mix-Up,0.0
14210,1.0,0.13635790848822518,Scumbag: Dishonest Jerk Uses Fake Head To Cheat At Russian Roulette,0.0
3653,0.0,0.6680552183551834,Giuliani set to make paid appearance next week at Kremlin-backed conference that includes Putin,1.0
10166,1.0,0.0029278752872100933,Actor Terry Crews says the National Enquirer's publisher tried to 'silence' him with fake stories as Jeff Bezos accuses the tabloid of blackmail,0.0
7201,0.0,0.8818619600271609,Kalashnikov unveils new electric car,1.0
2909,0.0,0.5179412001259686,No More Cocks on Sticks at Goose Fair after this year,1.0
8755,1.0,0.4874767388992751,E3 Organizers Cancel Convention After Discovering Immersive Power Of Literature,0.0
2412,0.0,0.627913161815604,Israeli military marks ‘Mean Girls Day’ by trolling Iran on Twitter,1.0
5598,0.0,0.9727580608937171,You'll find an all-mustard vending machine and thousands of jars from around the world at the National Mustard Museum,1.0
17066,1.0,0.43385200370088,Blog: My Republican Colleagues Must Condemn Racist Violence And Recommit Themselves To Peacefully Passing Racist Laws,0.0
8139,1.0,0.1867126625710208,"I did the art and headline, now please write the article",0.0
9865,1.0,0.4255407444741801,Sexist Media Keeps Only Referring To Woman As ‘Bride Of ISIS Soldier’,0.0
2941,0.0,0.5679199660934083,Man gets tired of waiting for Muslims to carry out another terrorist attack in Europe so he converts to Islam himself and gets the job done,1.0
1121,0.0,0.7152466704027728,"RNC Chairwoman Decries Nepotism In Politics — Even Though Mitt Romney Is Her Uncle | One Twitter user summed it up: “I don’t know if you quite understand what nepotism means, Niece of Mitt Romney.”",1.0
4111,0.0,0.686934481560009,Of course this is a thing,1.0
2145,0.0,0.5618815603679027,Nevada named 3rd most haunted state,1.0
2892,0.0,0.9186355933797087,Orioles players send handwritten thank you notes to fans after disappointing 108-loss season,1.0
12563,1.0,0.34756496877617465,"The Onion: University of California, Berkeley 'Students Excited To See Slate Of Notable Speakers Who Will Be Disinvited To Campus This Year'",0.0
11410,1.0,0.2721302287693427,The Shrek/Raw Onion Challenge,0.0
10393,1.0,0.31396755149147254,Sick Liberals Photoshop Brave Patriot's Face Onto a Saltine CRACKER and Lib University SHRUGS,0.0
2299,0.0,0.8406245142105149,Pigeon shits on man complaining about pigeon shit,1.0
5202,0.0,0.575220630369952,Local Telecommunications Company Unveils Pumpkin Spice-Scented Office Phones,1.0
214,0.0,0.8827968353920735,Trump says being president has cost him $2 billion to $5 billion,1.0
9369,1.0,0.18000931000044906,Police Officer Demonstrates Proper Technique For Subduing Grand Jury,0.0
506,0.0,0.6922949613317466,Women on Historic Spacewalk Pause to Politely Correct Man’s Error,1.0
6310,0.0,0.5600025158171758,Aussie Girl Has Thumb Replaced With Big Toe After Shocking Surgical Error,1.0
